Week,MatchupId,Home/Away,Team,Player,Slot,Points,Eligible Slots
1,1,Home,Team Golaski,Dalvin Cook,RB,20.4,"RB, RB/WR, RB/WR/TE, OP, BE, IR"
1,1,Home,Team Golaski,Allen Robinson II,WR,0.0,"RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,1,Home,Team Golaski,Chris Carson,RB,12.7,"RB, RB/WR, RB/WR/TE, OP, BE, IR"
1,1,Home,Team Golaski,T.J. Hockenson,TE,25.7,"WR/TE, TE, RB/WR/TE, OP, BE, IR"
1,1,Home,Team Golaski,Justin Herbert,QB,13.38,"QB, OP, BE, IR"
1,1,Home,Team Golaski,Mike Williams,WR,22.2,"RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,1,Home,Team Golaski,Marquez Callaway,RB/WR/TE,2.4,"RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,1,Home,Team Golaski,Steelers D/ST,D/ST,13.0,"D/ST, BE, IR"
1,1,Home,Team Golaski,DeVante Parker,BE,12.1,"RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,1,Home,Team Golaski,Jamison Crowder,BE,0.0,"RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,1,Home,Team Golaski,Brandon McManus,K,9.0,"K, BE, IR"
1,1,Home,Team Golaski,Dee Eskridge,BE,3.8,"Rookie, RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,1,Home,Team Golaski,Rashaad Penny,BE,0.8,"RB, RB/WR, RB/WR/TE, OP, BE, IR"
1,1,Home,Team Golaski,Boston Scott,BE,0.0,"RB, RB/WR, RB/WR/TE, OP, BE, IR"
1,1,Home,Team Golaski,Darius Slayton,BE,9.5,"RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,1,Home,Team Golaski,James Washington,BE,3.0,"RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,1,Away,Team Pachorek,Tyreek Hill,WR,37.1,"RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,1,Away,Team Pachorek,DK Metcalf,WR,16.0,"RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,1,Away,Team Pachorek,Chase Edmonds,RB,14.6,"RB, RB/WR, RB/WR/TE, OP, BE, IR"
1,1,Away,Team Pachorek,Aaron Rodgers,QB,1.32,"QB, OP, BE, IR"
1,1,Away,Team Pachorek,Noah Fant,TE,12.2,"WR/TE, TE, RB/WR/TE, OP, BE, IR"
1,1,Away,Team Pachorek,Buccaneers D/ST,D/ST,-3.0,"D/ST, BE, IR"
1,1,Away,Team Pachorek,Cole Beasley,RB/WR/TE,14.0,"RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,1,Away,Team Pachorek,Michael Carter,RB,3.0,"Rookie, RB, RB/WR, RB/WR/TE, OP, BE, IR"
1,1,Away,Team Pachorek,Tua Tagovailoa,BE,16.18,"QB, OP, BE, IR"
1,1,Away,Team Pachorek,Malcolm Brown,BE,1.6,"RB, RB/WR, RB/WR/TE, OP, BE, IR"
1,1,Away,Team Pachorek,Bryan Edwards,BE,0.0,"RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,1,Away,Team Pachorek,Graham Gano,BE,1.0,"K, BE, IR"
1,1,Away,Team Pachorek,Josh Lambo,K,2.0,"K, BE, IR"
1,1,Away,Team Pachorek,Anthony Firkser,BE,4.9,"WR/TE, TE, RB/WR/TE, OP, BE, IR"
1,1,Away,Team Pachorek,Titans D/ST,BE,-2.0,"D/ST, BE, IR"
1,1,Away,Team Pachorek,Devonta Freeman,BE,0.0,"RB, RB/WR, RB/WR/TE, OP, BE, IR"
1,2,Home,Team Willett,Saquon Barkley,RB,3.7,"RB, RB/WR, RB/WR/TE, OP, BE, IR"
1,2,Home,Team Willett,A.J. Brown,WR,14.9,"RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,2,Home,Team Willett,DJ Moore,WR,15.4,"RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,2,Home,Team Willett,Kenny Golladay,RB/WR/TE,10.4,"RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,2,Home,Team Willett,William Fuller V,BE,0.0,"RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,2,Home,Team Willett,Jonnu Smith,TE,9.8,"WR/TE, TE, RB/WR/TE, OP, BE, IR"
1,2,Home,Team Willett,Joe Burrow,QB,18.64,"QB, OP, BE, IR"
1,2,Home,Team Willett,Jalen Reagor,BE,16.9,"RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,2,Home,Team Willett,Rob Gronkowski,BE,29.0,"WR/TE, TE, RB/WR/TE, OP, BE, IR"
1,2,Home,Team Willett,Evan Engram,BE,0.0,"WR/TE, TE, RB/WR/TE, OP, BE, IR"
1,2,Home,Team Willett,Broncos D/ST,D/ST,7.0,"D/ST, BE, IR"
1,2,Home,Team Willett,Matt Gay,K,0.0,"K, BE, IR"
1,2,Home,Team Willett,Christian Kirk,BE,24.0,"RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,2,Home,Team Willett,Tyrod Taylor,BE,23.64,"QB, OP, BE, IR"
1,2,Home,Team Willett,Javonte Williams,RB,5.1,"Rookie, RB, RB/WR, RB/WR/TE, OP, BE, IR"
1,2,Home,Team Willett,Marvin Jones Jr.,BE,18.7,"RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,2,Away,Rappa Trappa,Aaron Jones,RB,4.2,"RB, RB/WR, RB/WR/TE, OP, BE, IR"
1,2,Away,Rappa Trappa,Keenan Allen,WR,19.0,"RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,2,Away,Rappa Trappa,Adam Thielen,WR,30.2,"RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,2,Away,Rappa Trappa,Russell Wilson,QB,27.06,"QB, OP, BE, IR"
1,2,Away,Rappa Trappa,Dallas Goedert,TE,14.2,"WR/TE, TE, RB/WR/TE, OP, BE, IR"
1,2,Away,Rappa Trappa,Ronald Jones II,BE,-0.6,"RB, RB/WR, RB/WR/TE, OP, BE, IR"
1,2,Away,Rappa Trappa,Tyrell Williams,RB/WR/TE,3.4,"RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,2,Away,Rappa Trappa,Giovani Bernard,BE,3.2,"RB, RB/WR, RB/WR/TE, OP, BE, IR"
1,2,Away,Rappa Trappa,Jason Sanders,K,6.0,"K, BE, IR"
1,2,Away,Rappa Trappa,Patriots D/ST,D/ST,7.0,"D/ST, BE, IR"
1,2,Away,Rappa Trappa,Sammy Watkins,BE,0.0,"RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,2,Away,Rappa Trappa,Wayne Gallman,BE,0.0,"RB, RB/WR, RB/WR/TE, OP, BE, IR"
1,2,Away,Rappa Trappa,Allen Lazard,BE,3.6,"RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,2,Away,Rappa Trappa,DeSean Jackson,BE,0.0,"RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,2,Away,Rappa Trappa,Miles Sanders,RB,17.3,"RB, RB/WR, RB/WR/TE, OP, BE, IR"
1,2,Away,Rappa Trappa,Albert Wilson,BE,0.0,"RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,3,Home,Team LaRusso,Christian McCaffrey,RB,27.7,"RB, RB/WR, RB/WR/TE, OP, BE, IR"
1,3,Home,Team LaRusso,Josh Jacobs,RB,0.0,"RB, RB/WR, RB/WR/TE, OP, BE, IR"
1,3,Home,Team LaRusso,Mike Evans,WR,5.4,"RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,3,Home,Team LaRusso,Tee Higgins,WR,15.8,"RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,3,Home,Team LaRusso,Kyler Murray,QB,33.56,"QB, OP, BE, IR"
1,3,Home,Team LaRusso,Mike Gesicki,TE,0.0,"WR/TE, TE, RB/WR/TE, OP, BE, IR"
1,3,Home,Team LaRusso,Marquise Brown,RB/WR/TE,0.0,"RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,3,Home,Team LaRusso,J.D. McKissic,BE,0.8,"RB, RB/WR, RB/WR/TE, OP, BE, IR"
1,3,Home,Team LaRusso,Michael Pittman Jr.,BE,5.9,"RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,3,Home,Team LaRusso,Sterling Shepard,BE,24.3,"RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,3,Home,Team LaRusso,Justin Jackson,BE,1.7,"RB, RB/WR, RB/WR/TE, OP, BE, IR"
1,3,Home,Team LaRusso,Browns D/ST,D/ST,0.0,"D/ST, BE, IR"
1,3,Home,Team LaRusso,Jared Cook,BE,10.6,"WR/TE, TE, RB/WR/TE, OP, BE, IR"
1,3,Home,Team LaRusso,Derek Carr,BE,0.0,"QB, OP, BE, IR"
1,3,Home,Team LaRusso,Robbie Gould,K,13.0,"K, BE, IR"
1,3,Home,Team LaRusso,Hunter Renfrow,BE,0.0,"RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,3,Away,Team Ferguson,Najee Harris,RB,5.9,"Rookie, RB, RB/WR, RB/WR/TE, OP, BE, IR"
1,3,Away,Team Ferguson,Clyde Edwards-Helaire,RB,10.2,"RB, RB/WR, RB/WR/TE, OP, BE, IR"
1,3,Away,Team Ferguson,Gus Edwards,BE,0.0,"RB, RB/WR, RB/WR/TE, OP, BE, IR"
1,3,Away,Team Ferguson,Chris Godwin,WR,23.5,"RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,3,Away,Team Ferguson,DeVonta Smith,WR,19.1,"Rookie, RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,3,Away,Team Ferguson,Chase Claypool,RB/WR/TE,10.0,"RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,3,Away,Team Ferguson,DJ Chark Jr.,BE,17.6,"RB/WR, WR, WR/TE, RB/WR/TE, OP, BE, IR"
1,3,Away,Team Ferguson,Devin Singletary,BE,11.0,"RB, RB/WR, RB/WR/TE, OP, BE, IR"
1,3,Away,Team Ferguson,Tyler Higbee,TE,0.0,"WR/TE, TE, RB/WR/TE, OP, BE, IR"
1,3,Away,Team Ferguson,Matt Ryan,QB,7.36,"QB, OP, BE, IR"
